–7 0 – 0.323 683 985 552 42e13
–7 4 0.732 633 509 021 81e13
–6 0 0.358 250 899 454 47e12
–6 2 – 0.583 401 318 515 90e12
–5 0 – 0.107 830 682 174 70e11
–5 2 0.208 255 445 631 71e11
–2 0 0.610 747 835 645 16e6
–2 1 0.859 777 225 355 80e6
–1 0 – 0.257 457 236 041 70e5
–1 2 0.310 810 884 227 14e5
0 0 0.120 823 158 659 36e4
0 1 0.482 197 551 092 55e3
1 4 0.379 660 012 724 86e1
1 8 – 0.108 429 848 800 77e2
2 4 – 0.453 641 726 766 60e-1
6 0 0.145 591 156 586 98e-12
6 1 0.112 615 974 072 30e-11
6 4 – 0.178 049 822 406 86e-10
6 10 0.123 245 796 908 32e-6
6 12 – 0.116 069 211 309 84e-5
6 16 0.278 463 670 885 54e-4
6 20 – 0.592 700 384 741 76e-3
6 22 0.129 185 829 918 78e-2
